"region","realistic_shortfall","total_fine_exposure_gbp","risk_category"
South East,61813,927195000,CRITICAL
North West,26621,399315000,CRITICAL
South West,22574,338610000,CRITICAL
East of England,21403,321045000,CRITICAL
Yorkshire and The Humber,16242,243630000,CRITICAL
London,15176,227640000,CRITICAL
Scotland,12065,180975000,CRITICAL
East Midlands,11055,165825000,CRITICAL
West Midlands,9916,148740000,CRITICAL
Wales,4346,65190000,HIGH
Northern Ireland,3592,53880000,HIGH
North East,3463,51945000,HIGH
